Name,lat,lon
SMARC,14.9580,-91.8023
HUEH,15.3162,-91.4851
VILL,14.5041,-90.6131
XELA,14.8618,-91.5491
JUTI,14.2832,-89.8975
CIRS,14.6568,-90.5136
ANTG,14.5600,-90.7352
SJPIN,14.5447,-90.4457
CMONM,14.5834,-90.5632
CSTER,14.6035,-90.5568
KINAL,14.6255,-90.5357
CASUN,14.6012,-90.5076
ITC,14.6458,-90.5063
EXCEL,14.5803,-90.4940
CCONS,14.5656,-90.4816
IPRES,14.6436,-90.5127
TADEO,14.5854,-90.5193
CBIBL,14.5923,-90.5497
CAUST,14.6213,-90.4852
LSECB,14.6080,-90.6052
ICREY,14.6118,-90.5224
SEUNI,14.6109,-90.5160
JUAMA,14.5714,-90.5286
SETEC,14.6212,-90.5268
ACRIS,14.5993,-90.5959
ASEGG,14.6038,-90.5128
CDBOS,14.6241,-90.5207
RGIL,14.5841,-90.4879
COBAN,15.4716,-90.3767
AMGGT,14.6314,-90.5388
CHAMP,14.2946,-91.9140
JUNKA,14.6204,-90.5293
IZABA,15.7472,-88.5780
SALAM,15.1010,-90.3179
CHULA,13.9160,-90.8911
ZACAP,14.9716,-89.5417
QUICH,15.0295,-91.1445
ESCTL,14.3111,-90.7611
CEPRO,14.6651,-90.4942
STARS,14.2791,-90.3014
LGUAT,14.6160,-90.5133
SMP,14.5200,-90.5556
CSAGC,14.6221,-90.4724
SPAYM,14.6875,-90.4594
JALAP,14.6322,-89.9847
BVH,14.4787,-90.4847
GARIT,13.7517,-90.1268
OCOS,14.5329,-92.2193
NRNJO,14.6577,-90.5580
ALUX,14.6180,-90.6332
TUC,14.6014,-90.5176
COAT,14.6994,-91.8642
JACAL,15.6673,-91.7082
VILLC,14.5526,-90.5232
EPROG,14.8561,-90.0686
